idx,伴学,ID_NUM,ID,难度,中文,英文,作者,标签
97,奇幻冒险​,967,buytxs,四级,纳尼亚传奇：银椅,The Chronicles of Narnia: The Silver Chair,C·S·刘易斯,小说
98,奇幻冒险​,970,navvp,四级,纳尼亚传奇：能言马与男孩,The Chronicles of Narnia: The Horse And His Boy,C·S·刘易斯,小说
99,奇幻冒险​,973,jeusx,高考,纳尼亚传奇：狮子、女巫和魔衣柜,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",C·S·刘易斯,小说
100,奇幻冒险​,976,byfru,四级,纳尼亚传奇：魔法师的外甥,The Chronicles of Narnia: The Magician's Nephew,C·S·刘易斯,小说
101,奇幻冒险​,979,brtzhl,四级,纳尼亚传奇：最后一战,The Chronicles of Narnia: The Last Battle,C·S·刘易斯,小说
102,文学经典​,1057,ziyqc,四级,海明威短篇小说精选,The Selected Short Stories of Ernest Hemingway,欧内斯特·米勒尔·海明威,"经典, 小说"
103,奇幻冒险​,1078,woskp,四级,地心游记（下）,A Journey into the Interior of the Earth,儒勒·凡尔纳,"经典, 小说"
104,奇幻冒险​,1081,glrfq,四级,地心游记（上）,A Journey into the Interior of the Earth,儒勒·凡尔纳,"经典, 小说"
105,童话与寓言​,1096,qwwss,四级,奥斯卡·王尔德短篇童话精选,The Selected Short Fairy Tales of Oscar Wilde,奧斯卡·王尔德,经典
110,奇幻冒险​,1114,nibcn,四级,奥兹国仙境,The Marvelous Land of Oz,莱曼·弗兰克·鲍姆,"经典, 小说"
118,文学经典​,1330,ljzps,四级,圣诞颂歌,Christmas Carol,查尔斯·狄更斯,"经典, 小说"
121,奇幻冒险​,1339,btxxge,高考,爱丽丝镜中奇遇记,Through the Looking Glass,路易斯·卡罗尔,经典
122,奇幻冒险​,1342,ygyjz,高考,哈克贝利·费恩历险记（上）,The Adventures of Huckleberry Finn,马克·吐温,"经典, 小说"
123,奇幻冒险​,1345,zdbyl,高考,哈克贝利·费恩历险记（下）,The Adventures of Huckleberry Finn,马克·吐温,"经典, 小说"
124,童话与寓言​,1348,sjqec,高考,五个孩子和沙精,Five Children And It,伊迪丝·内斯比特,"经典, 小说"
125,文学经典​,1420,vrajp,高考,王子与贫儿（上）,The Prince and the Pauper,马克·吐温,"经典, 小说"
126,文学经典​,1423,bcxidz,高考,王子与贫儿（下）,The Prince and the Pauper,马克·吐温,"经典, 小说"
128,文学经典​,1480,qfswq,六级,母亲 第一部 （上）,Mother,高尔基,"经典, 小说"
129,文学经典​,1483,bskqku,六级,母亲 第一部 （下）,Mother,高尔基,"经典, 小说"
130,童话与寓言​,1609,ejewq,六级,格林童话（上）,Grimms' Fairy Tales,格林兄弟,经典
131,童话与寓言​,1612,vtfza,六级,格林童话（下）,Grimms' Fairy Tales,格林兄弟,经典
132,文学经典​,1678,xudce,雅思,三个火枪手（一）,The Three Musketeers,大仲马,"经典, 小说"
133,文学经典​,1681,dzubp,雅思,三个火枪手（二）,The Three Musketeers,大仲马,"经典, 小说"
134,文学经典​,1684,tivsn,雅思,三个火枪手（三）,The Three Musketeers,大仲马,"经典, 小说"
135,文学经典​,1687,bvnsix,雅思,三个火枪手（四）,The Three Musketeers,大仲马,"经典, 小说"
136,文学经典​,1690,nfuxa,雅思,三个火枪手（五）,The Three Musketeers,大仲马,"经典, 小说"
137,文学经典​,1723,btdmwu,六级,人猿泰山（上）,Tarzan of the Apes,埃德加·巴勒斯,"经典, 小说"
138,文学经典​,1726,yjnzs,六级,人猿泰山（下）,Tarzan of the Apes,埃德加·巴勒斯,"经典, 小说"
139,成长启示录​,2152,rsuhq,考研,原来如此的故事,Just So Stories,鲁德亚德·吉卜林（著）,"经典, 小说"
140,奇幻冒险​,2404,toeou,高考,骑鹅旅行记（上）,The Wonderful Adventures of Nils,塞尔玛·拉格洛夫,"经典, 小说"
141,奇幻冒险​,2407,bvbzvl,高考,骑鹅旅行记（中）,The Wonderful Adventures of Nils,塞尔玛·拉格洛夫,"经典, 小说"
142,奇幻冒险​,2410,nldie,高考,骑鹅旅行记（下）,The Wonderful Adventures of Nils,塞尔玛·拉格洛夫,"经典, 小说"
143,文学经典​,2509,jdpaa,考研,巴黎圣母院（上）,Notre-Dame De Paris,维克多·雨果,"经典, 小说"
144,文学经典​,2512,byqix,考研,巴黎圣母院（中）,Notre-Dame De Paris,维克多·雨果,"经典, 小说"
145,文学经典​,2515,brtaze,考研,巴黎圣母院（下）,Notre-Dame De Paris,维克多·雨果,"经典, 小说"
150,成长启示录​,2668,veoli,四级,爱的教育（上）,Cuore,亚米契斯,"经典, 小说"
151,成长启示录​,2671,bkcmtq,四级,爱的教育（下）,Cuore,亚米契斯,"经典, 小说"
152,文学经典​,2992,bjoqa,中考,泰山之子（上）,The Son of Tarzan,埃德加·巴勒斯,"经典, 小说"
153,文学经典​,2995,brolgs,中考,泰山之子（下）,The Son of Tarzan,埃德加·巴勒斯,"经典, 小说"
154,文学经典​,3367,buezou,六级,海狼（上）,The Sea-Wolf,杰克·伦敦,"经典, 小说"
155,文学经典​,3370,nresx,六级,海狼（下）,The Sea-Wolf,杰克·伦敦,"经典, 小说"
156,文学经典​,3616,axptu,六级,外星小毛毛,Little Fuzzy,亨利·比姆·派珀,"经典, 小说"
157,童话与寓言​,3649,zzkne,六级,伊索寓言,Aesop's Fables,伊索,"经典, 小说"
158,文学经典​,3697,emqgs,四级,圣诞忆旧集,A CHRISTMAS MEMORY,杜鲁门·卡坡蒂,"经典, 小说"
159,文学经典​,4183,bvpxpe,中考,边城,Border Town,沈从文,"经典, 小说"
160,文学经典​,4551,buxlle,GRE,哈姆雷特,Hamlet,威廉·莎士比亚,"经典, 小说"
161,文学经典​,4552,qefne,高考,爱丽丝漫游奇境 | 译林有声双语,Alice's Adventures in Wonderland,路易斯·卡罗尔,经典
162,文学经典​,4553,fsqyp,高考,巴黎圣母院 | 译林有声双语,The Hunchback of Notre Dame,维克多·雨果,"经典, 小说"
163,文学经典​,4554,mjnqs,高考,哈克贝利·费恩历险记 | 译林有声双语,The Adventures of Huckleberry Finn,马克·吐温,"经典, 小说"
164,文学经典​,4555,bscdui,高考,鲁滨逊漂流记 | 译林有声双语,The Adventures of Robinson Crusoe,丹尼尔·笛福,"经典, 小说"
165,文学经典​,4556,vlren,高考,双城记 | 译林有声双语,A Tale of Two Cities,查尔斯·狄更斯,经典
166,文学经典​,4562,lfxou,高考,格林童话 | 译林有声双语,Grimm's Fairy Tales,格林兄弟,经典
167,文学经典​,4563,brshza,高考,雾都孤儿 | 译林有声双语,Oliver Twist,查尔斯·狄更斯,经典
168,文学经典​,4565,iwwlc,高考,秘密花园 | 译林有声双语,The Secret Garden,弗朗西丝·霍奇森·伯内特,经典
169,文学经典​,4566,wliei,高考,奇幻森林 | 译林有声双语,The Jungle Book,鲁德亚德·吉卜林（著）,"经典, 小说"
170,文学经典​,4567,bvetjz,高考,绿野仙踪 | 译林有声双语,The Wonderful Wizard of Oz,莱曼·弗兰克·鲍姆,经典
171,文学经典​,4593,ewshq,高考,心如花园,Your Mind Is a Garden,"比尔·盖茨, 普希金, 欧内斯特·米勒尔·海明威",生活
172,文学经典​,4594,mlpvz,高考,驶过时间海洋的小舟,The Little Boat That Sailed Through Time,"钱钟书, 泰戈尔, 冰心, 巴拉克·奥巴马",生活
173,文学经典​,4595,brdfnn,高考,1℃的爱情,1℃ Love,"戴尔·卡耐基, 泰戈尔, 马克·吐温, 歌德, 威廉·莎士比亚",生活
174,文学经典​,4596,ufuaa,高考,如花的托斯卡纳,Flowery Tuscany,"爱默生, 威廉·华兹华斯, 余光中, 查尔斯·狄更斯, 亨利·戴维·梭罗 , 纳撒尼尔·霍桑, 马赛尔·普鲁斯特",生活
175,文学经典​,4597,jsose,高考,一直走在阳光里,Keep Walking in Sunshine,"简·奥斯汀, 斯蒂芬·茨威格, 欧内斯特·米勒尔·海明威, 约翰·济慈",生活
176,文学经典​,4598,wjgwl,高考,爱在那个夏天,The Love in that Summer,"威廉·莎士比亚, 泰戈尔, 巴拉克·奥巴马",生活
177,文学经典​,4599,bckres,高考,清晨许个愿,A Morning Wish,"F·斯科特·菲茨杰拉德, 夏洛蒂·勃朗特",生活
178,文学经典​,4600,sopgs,高考,你是独特的,You Are Special,"J.K.罗琳, 海伦·凯勒, W.B.叶芝, 圣-埃克苏佩里",生活
179,有声书虫,4612,sxkpx,中考,森林王子 | 有声书虫（3级）,The Jungle Book,"鲁德亚德·吉卜林（著）, 拉尔夫·莫厄特（改编）","经典, 小说"
180,有声书虫,4613,gjxdl,中考,猴爪 | 有声书虫（1级）,The Monkey's Paw,雅各布斯,"经典, 小说"
181,有声书虫,4615,busvce,中考,福尔摩斯探案故事 | 有声书虫（2级）,Sherlock Holmes Short Stories,阿瑟·柯南·道尔（作者），珍妮弗·巴西特（改编）,"经典, 小说, 推理悬疑"
182,有声书虫,4616,qczle,中考,欧·亨利短篇小说集 | 有声书虫（2级）,O.Henry's Short Stories,欧·亨利,"经典, 小说"
183,有声书虫,4617,eyjwp,高考,纯真年代 | 有声书虫（5级）,The Age of Innocence,伊迪丝·华顿,"经典, 小说"
184,有声书虫,4618,mokas,中考,莫尔格街凶杀案 | 有声书虫（2级）,The Murders in the Rue Morgue,爱伦·坡,"经典, 小说, 推理悬疑"
185,有声书虫,4619,brgxsi,高考,野性的呼唤 | 有声书虫（3级）,The Call of the Wild,杰克·伦敦,"经典, 小说"
186,有声书虫,4621,jvvhu,中考,风中奇缘 | 有声书虫（2级）,Pocahontas,蒂姆·维卡里,"经典, 小说"
187,有声书虫,4622,xqyvg,中考,亚瑟王传奇 | 有声书虫（入门）,King Arthur,哈迪·古尔德,"经典, 小说"
188,有声书虫,4623,bcminx,中考,侠盗罗宾汉 | 有声书虫（入门）,Robin Hood,约翰·埃斯科特,"经典, 小说"
189,有声书虫,4624,bsgfg,中考,越狱 | 有声书虫（入门）,Escape,"菲利普·伯罗, 马克·福斯特","经典, 小说"
190,文学经典​,4695,bvwpei,四级,海蒂,Heidi,约翰娜·斯比丽,经典
191,名著精讲,4730,oopue,六级,《老人与海》精讲版,"The Old Man and the Sea, with Study Guide",欧内斯特·米勒尔·海明威,"经典, 小说"
192,名著精讲,4731,btgfmp,高考,《彼得·潘》精讲版,"Peter Pan, with Study Guide",詹姆斯·巴里,经典
193,名著精讲,4732,citjq,高考,《小王子》精讲版,"The Little Prince, with Study Guide",圣-埃克苏佩里,经典
194,名著精讲,4736,asetp,GRE,《了不起的盖茨比》精讲版,"The Great Gatsby, with Study Guide",菲茨杰拉德,"经典, 小说"
195,名著精讲,4739,bbzyjz,高考,《巴黎圣母院（有声双语经典）》精讲版,"The Hunchback of Notre Dame, with Study Guide",维克多·雨果,"经典, 小说"
196,名著精讲,4740,seqou,四级,《奥斯卡·王尔德短篇童话》精讲版,"The Selected Short Fairy Tales of Oscar Wilde, with Study Guide",奧斯卡·王尔德,经典
197,名著精讲,4741,hrkza,四级,《爱丽丝漫游奇境记》精讲版,"Alice's Adventures in Wonderland, with Study Guide",路易斯·卡罗尔,经典
198,名著精讲,4744,qnmkl,高考,《雾都孤儿（有声双语经典）》精讲版,"Oliver Twist, with Study Guide",查尔斯·狄更斯,经典
199,名著精讲,4745,efzps,高考,《双城记（有声双语经典）》精讲版,"A Tale of Two Cities, with Study Guide",查尔斯·狄更斯,"经典, 小说"
200,大英百科,4933,hcjqi,四级,埃及艳后｜大英百科,Cleopatra: Queen of Egypt,大英百科,科普
201,大英百科,5106,mmnog,四级,爱尔兰｜大英百科,Ireland,大英百科,科普
203,大英百科,4882,lmkhp,四级,奥斯曼帝国｜大英百科,The Ottoman Empire,大英百科,科普
205,大英百科,4883,bqeyqc,四级,拜占庭帝国｜大英百科,The Byzantine Empire,大英百科,科普
206,大英百科,4920,srcun,四级,板块构造、地震和火山｜大英百科,"Investigating Plate Tectonics, Earthquakes, and Volcanoes",大英百科,科普
207,大英百科,4902,pmele,四级,保护环境｜大英百科,Protecting the Environment,大英百科,科普
209,大英百科,5033,fnnei,四级,北极、亚北极和西北海岸的原住民族｜大英百科,"Indigenous Peoples of the Arctic, Subarctic, and Northwest Coast",大英百科,科普
210,大英百科,5084,cphwp,四级,冰川、海冰和冰的形成｜大英百科,"Glaciers, Sea Ice, and Ice Formation",大英百科,科普
211,大英百科,4946,lzfee,四级,冰球及最伟大的冰球运动员们｜大英百科,Hockey and Its Greatest Players,大英百科,科普
212,大英百科,4935,buowzc,四级,波卡洪塔斯｜大英百科,Pocahontas: Facilitating Exchange Between the Powhatan and the Jamestown Settlers,大英百科,科普
217,大英百科,4893,banjin,四级,代数｜大英百科,Algebra,大英百科,科普
218,大英百科,5097,fdizs,四级,丹麦、芬兰和瑞典｜大英百科,"Denmark, Finland, and Sweden",大英百科,科普
219,大英百科,5099,bsiwvp,四级,德国｜大英百科,Germany,大英百科,科普
220,大英百科,4911,bkqzdl,四级,地球的历史｜大英百科,Investigating the History of Earth,大英百科,科普
221,大英百科,4951,bvymvu,四级,地球海洋｜大英百科,Investigating Earth’s Oceans,大英百科,科普
222,大英百科,5007,bcyohp,四级,地球和月球｜大英百科,Earth and Its Moon,大英百科,科普
223,大英百科,4956,cmsxi,四级,地球极地生物群落｜大英百科,Investigating Earth’s Polar Biomes,大英百科,科普
224,大英百科,5051,bteiju,四级,地球科学｜大英百科,Earth Science,大英百科,科普
225,大英百科,4921,gnwmu,四级,地球沙漠、草原和雨林生物群落｜大英百科,"Investigating Earth’s Desert, Grassland, and Rainforest Biomes",大英百科,科普
226,大英百科,4923,btyuax,四级,地球天气｜大英百科,Investigating Earth’s Weather,大英百科,科普
227,大英百科,4861,bbmuqn,四级,地热能｜大英百科,Geothermal Energy,大英百科,科普
228,大英百科,4858,oyvtl,四级,地震！｜大英百科,Earthquake!,大英百科,科普
230,大英百科,4954,oanix,四级,电｜大英百科,Electricity,大英百科,科普
231,大英百科,5043,brovfl,四级,电话技术的突破｜大英百科,Breakthroughs in Telephone Technology,大英百科,科普
232,大英百科,4955,btkerl,四级,电子产品 | 大英百科,Electronics,大英百科,科普
233,大英百科,5009,dddmp,四级,雕塑｜大英百科,Sculpture,大英百科,科普
235,大英百科,4949,ineyg,四级,动物王国 | 大英百科,A Closer Look at the Animal Kingdom,大英百科,科普
236,大英百科,4900,tvrfl,四级,动物细胞和植物细胞｜大英百科,How Plant and Animal Cells Differ,大英百科,科普
237,大英百科,5080,rjwvg,四级,耳鼻喉｜大英百科,"Ear, Nose, and Throat",大英百科,科普
238,大英百科,4832,bbrhu,高考,梵高传｜大英百科,Vincent van Gogh: Master of Post-Impressionist Painting,Jennifer Landau,人物
240,大英百科,4860,kbihz,四级,风力发电｜大英百科,Wind Power,大英百科,科普
245,大英百科,5068,vmqax,四级,工业革命｜大英百科,The Industrial Revolution,大英百科,科普
249,大英百科,4852,uevdg,四级,古埃及｜大英百科,Ancient Egypt,大英百科,科普
250,大英百科,5125,gjsxc,四级,古代技术｜大英百科,Technology of the Ancient World,大英百科,科普
251,大英百科,5030,pwokl,四级,古代探险家：从亚历山大大帝到马可波罗｜大英百科,Explorers of Antiquity: From Alexander the Great to Marco Polo,大英百科,科普
253,大英百科,4849,epuxi,四级,古罗马｜大英百科,Ancient Rome,大英百科,科普
254,大英百科,5103,bkohwu,四级,古生代：动植物生命的多样化｜大英百科,The Paleozoic Era: Diversification of Plant and Animal Life,大英百科,科普
255,大英百科,4850,mkxbp,四级,古希腊｜大英百科,Ancient Greece,大英百科,科普
256,大英百科,5094,pgjux,四级,骨骼和肌肉：结构、力和运动｜大英百科,"Bone and Muscle: Structure, Force, and Motion",大英百科,科普
257,大英百科,4918,wwwjz,四级,光｜大英百科,Light,大英百科,科普
258,大英百科,4932,sjyis,四级,哈莉特·塔布曼｜大英百科,Harriet Tubman: Abolitionist and Conductor of the Underground Railroad,大英百科,科普
259,大英百科,4854,wiiku,四级,海啸！｜大英百科,Tsunami!,大英百科,科普
